Rank,Name Song,Artist,Peak Rank,Previous Rank,Weeks On Chart,Streaming,Uri,Lyrics
23,Pink Venom,BLACKPINK,1,57,5,"549,839",https://open.spotify.com/track/5zwwW9Oq7ubSxoCGyW1nbY,"Kick in the door Waving the coco
Eat your popcorn don’t think about cutting in
I talk that talk Runways I walk walk
Eyes closed pop pop no need to look
One by one then Two by two
Everything collapses at the flick of my fingertip
Quite fancy for a fake show
Makes no sense You couldn’t get a dollar outta me
 
It’s tonight, I’m a flower with venom
After taking your soul
Look what you made us do
The fire that’ll slowly put you to sleep
So beautiful it’s brutal
 
I bring the pain like
This that pink venom
This that pink venom
This that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like whoa whoa whoa
Straight to ya dome like ah ah ah
 
Taste that pink venom
Taste that pink venom
Taste that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like whoa whoa whoa
Straight to ya dome like ah ah ah
 
Black paint and ammo, got bodies like Rambo
Rest in peace, please light up a candle
This da life of a vandal, masked up and I’m still in Celine
Designer crimes or it wouldn’t be me
 
Diamonds shinin’ drive in silence I don’t mind it I’m ridin’
Flyin’ private side by side with da pilot Up in the sky
And I’m wildin’, stylin’ on them and there’s no chance
Cuz we got bodies on bodies like this a slow dance
 
It’s tonight, I’m a flower with venom
After taking your soul
Look what you made us do
The fire that’ll slowly put you to sleep
So beautiful it’s brutal
 
I bring the pain like
This that pink venom
This that pink venom
This that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like whoa whoa whoa
Straight to ya dome like ah ah ah
 
Taste that pink venom
Taste that pink venom
Taste that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like whoa whoa whoa
Straight to ya dome like ah ah ah
 
Provoke us if you’d like
You can’t handle it and you know this
 
Already spread, shot that potion
Pink ocean right before your eyes
Come and give me all the smoke
All or nothing, like I’m so rock and roll
 
Come and give me all the smoke
Line ‘em up, STOP DROP
 
I bring the pain like

Straight to ya
Straight to ya
Straight to ya dome like

I bring the pain like"
24,ดีใจรึเปล่า,Whal & Dolph,11,22,9,"529,710",https://open.spotify.com/track/1WbqdJzBawPmNVBL1tT7dK,ดีใจรึเปล่า ที่เราได้พบกัน ต่อเติมความสัมพันธ์ที่หาย ดีใจรึเปล่า ที่ใจส่งถึงใจ เมื่อเธอได้พบใครสักคน แล้วรักครั้งนี้ ไม่เหมือนที่ผ่าน ๆ มา เคยรักแล้วเสียใจมีน้ำตา แล้วรักครั้งนี้ ดูสวยงามกว่าสิ่งใด เกิดความลึกซึ้งข้างในหัวใจ เมื่อเธอมีรักที่ไม่ทำให้เธอต้องเสียใจ ได้รักเข้าแล้วจะรู้ว่ามันช่างสวยงามแค่ไหน ให้เธอได้รักไม่ต้องกลัวว่าเธอจะเสียใจ โปรดรู้ว่ารักครั้งนี้จะไม่ยากสักเท่าไร ดีใจรึเปล่า ดีใจรึเปล่า ที่เราได้พบกัน ได้เป็นคนสำคัญเสมอ ดีใจรึเปล่า ที่ฉันได้พบเธอ จากใครคนที่เจอมากมาย แล้วรักครั้งนี้ ไม่เหมือนที่ผ่านๆ มา เคยรักแล้วเสียใจมีน้ำตา แล้วรักครั้งนี้ ดูสวยงามกว่าสิ่งใด เกิดความลึกซึ้งข้างในหัวใจ เมื่อเธอมีรักที่ไม่ทำให้เธอต้องเสียใจ ได้รักเข้าแล้วจะรู้ว่ามันช่างสวยงามแค่ไหน ให้เธอได้รักไม่ต้องกลัวว่าเธอจะเสียใจ โปรดรู้ว่ารักครั้งนี้จะไม่ยากสักเท่าไร ดีใจรึเปล่า เมื่อเธอมีรักที่ไม่ทำให้เธอต้องเสียใจ ได้รักเข้าแล้วจะรู้ว่ามันช่างสวยงามแค่ไหน ให้เธอได้รักไม่ต้องกลัวว่าเธอจะเสียใจ โปรดรู้ว่ารักครั้งนี้จะไม่ยากสักเท่าไร ดีใจรึเปล่า ให้เธอได้รักไม่ต้องกลัวว่าเธอจะเสียใจ โปรดรู้ว่ารักครั้งนี้จะไม่ยากสักเท่าไร ดีใจรึเปล่า
25,ความรู้สึกของตัวฉัน,มนัสวีร์,23,25,17,"515,992",https://open.spotify.com/track/13fTUwOsAtNtZtxAcBOtWy,วันที่จับมือกัน เธอกับฉันนั้นลืมบ้างไหมว่าเมื่อไหร่ จำอะไรได้บ้างไหม ว่าสุดท้ายอะไรที่ทำให้ได้พบกัน แล้วใครรักใครก่อน ไม่รู้ว่าเรารักกันเมื่อไหร่ แต่ความรู้สึกของฉันวันนั้นเท่านั้น บอกกับฉันว่าเธอคนนี้ และนับตั้งแต่นาทีตรงนั้นที่ฉันเพิ่งรู้ว่­ารักเธอ ก็อยากให้รู้ว่านับตั้งแต่วันนั้น ทุกวินาทีของฉัน บอกกับฉันว่าโลกนี้มีเธออยู่ เพราะฉันไม่เคยรู้สึก อะไรมากมายเท่านี้ ก็อยากให้รู้แม้จะอยู่ห่างไกล ถึงแม้จะอยู่ตรงไหน ถ้าโลกนี้นั้นมีแค่ใครสักคนหนึ่ง ให้คิดถึงกันทุกวัน จะทำให้หมดคำถามตลอดไป แต่ความรู้สึกของฉันวันนั้นเท่านั้น บอกกับฉันว่าเธอคนนี้ และนับตั้งแต่นาทีตรงนั้นที่ฉันเพิ่งรู้ว่­ารักเธอ ก็อยากให้รู้ว่านับตั้งแต่วันนั้น ทุกวินาทีของฉัน บอกกับฉันว่าโลกนี้มีเธออยู่ เพราะฉันไม่เคยรู้สึก อะไรมากมายเท่านี้ ก็อยากให้รู้แม้จะอยู่ห่างไกล ถึงแม้จะอยู่ตรงไหน ถ้าโลกนี้นั้นมีแค่ใครสักคนหนึ่ง ให้คิดถึงกันทุกวัน จะทำให้หมดคำถามตลอดไป อยู่ด้วยกัน จะอยู่ข้างๆกัน ตลอดไป
26,โลกที่แบกไว้,มนัสวีร์,24,24,7,"502,230",https://open.spotify.com/track/1BAIaOr39e7FsxRYjbPiyz,น้ำตาที่กลั้นเอาไว้ก็พลันไหลออกมา ปัญหาที่เก็บเอาไว้ก็พลันวิ่งเข้าตา รสชาติของชีวิตที่น่ากลัว คือกลัวการว่าใครไม่เข้าใจ โอ้ว เธอเบื่อและท้อเกินกว่าจะมีใครเข้าใจ โลกนี้มันโหดร้ายกับเธอเกินไป กับเธอมากไป เธอคงแบกความหวังมากเกินไป เธอเริ่มเหนื่อยและล้าทั้งหัวใจ ใครคงฝากความหวังไว้มากมายกับเธอ และไม่รู้ต้องไปอีกเท่าไหร่ และไม่รู้ต้องเดินอีกไกลแค่ไหน กว่าจะถึงจุดหมายที่เธอวาดเอาไว้ โอ้ว เธอเบื่อและท้อเกินกว่าจะมีใครเข้าใจ โลกนี้มันโหดร้ายกับเธอเกินไป กับเธอมากไป เธอคงแบกความหวังมากเกินไป เธอเริ่มเหนื่อยและล้าทั้งหัวใจ ใครคงฝากความหวังไว้มากมายกับเธอ และไม่รู้ต้องไปอีกเท่าไหร่ และไม่รู้ต้องเดินอีกไกลแค่ไหน เธอคงแบกความหวังมากเกินไป เธอเริ่มเหนื่อยและล้าทั้งหัวใจ ใครคงฝากความหวังไว้มากมายกับเธอ และไม่รู้ต้องไปอีกเท่าไหร่ และไม่รู้ต้องเดินอีกไกลแค่ไหน กว่าจะถึงจุดหมายที่เธอวาดเอาไว้ เธอคงแบกความหวังมากเกินไป เธอเริ่มเหนื่อยและล้าทั้งหัวใจ ใครคงฝากความหวังไว้มากมายกับเธอ
27,จดจำ,Only Monday,14,23,12,"501,417",https://open.spotify.com/track/2CjNvED1BSLPG1jYENA0QS,บ่อยครั้งที่คิดถึงเธอ บ่อยครั้งที่คิดเรื่องเธอ มันยังวนเวียนในหัวใจมันคอยตอกย้ำที่เธอลับไป บ่อยครั้งที่พยายาม ทำให้รู้ว่าไม่มีทาง ที่จะลืมเธอได้สักทีให้ลืมกี่ทีก็ลืมไม่ไหว เจ็บสุดท้ายก็เก็บ เก็บมันไว้ทุกอย่าง แม้ไม่มีทางให้กลับไป ได้แต่จดจำวันที่ดีที่มีเธออยู่ในหัวใจ ต่อให้มันจะเจ็บเท่าไรแค่มีเธออยู่ในหัวใจ กอดบาดแผลนี้ไว้ให้ดี ไม่มีวันเลือนหาย แม้ทรมานแค่ไหน ขอแค่ไม่ลืมเธอไปเท่านั้นพอ บ่อยครั้งที่ฉันละเมอ บ่อยครั้งที่เพ้อเรื่องเธอ ทำให้รู้ว่าในหัวใจ เธออยู่ในนั้นมันจำฝังใจ กี่ครั้งที่พยายาม ทำให้รู้ว่าไม่มีทาง ที่จะลืมเธอได้สักทีให้ลืมกี่ทีก็ลืมไม่ไหว เจ็บสุดท้ายก็เก็บ เก็บมันไว้ทุกอย่าง แม้ไม่มีทางให้กลับไป ได้แต่จดจำวันที่ดีที่มีเธออยู่ในหัวใจ ต่อให้มันจะเจ็บเท่าไรแค่มีเธออยู่ในหัวใจ กอดบาดแผลนี้ไว้ให้ดี ไม่มีวันเลือนหาย แม้ทรมานแค่ไหน ขอแค่ไม่ลืมเธอไปเท่านั้นพอ มันแสนจะทรมาน อยู่กับการที่ไม่มีเธอ และฉันต้องยืนให้ไหว หนึ่งใจก็อยากจะลืม แต่อีกใจก็ยังให้จำไว้ ว่าฉันแพ้เธออยู่แล้ว ได้แต่จดจำวันที่ดีที่มีเธออยู่ในหัวใจ ต่อให้มันจะเจ็บเท่าไรแค่มีเธออยู่ในหัวใจ กอดบาดแผลนี้ไว้ให้ดี ไม่มีวันเลือนหาย แม้ทรมานแค่ไหน ขอแค่ไม่ลืมเธอไปเท่านั้นพอ จดจำวันที่ดีที่มีเธออยู่ในหัวใจ ต่อให้มันจะเจ็บเท่าไรแค่มีเธออยู่ในหัวใจ กอดบาดแผลนี้ไว้ให้ดี ไม่มีวันเลือนหาย แม้ทรมานแค่ไหน ขอแค่ไม่ลืมเธอไปเท่านั้นพอ
28,Goodbye,PUN,10,27,12,"491,527",https://open.spotify.com/track/2kpVbauiG7Tcue6kZPKYNG,เรากำลังกอดกันอยู่หรือเปล่า เพราะฉันไม่รู้สึกถึงเธออีกแล้ว ถ้าหากฉันพูดออกมาจะฟังดูใจร้ายหรือเปล่า ภาพของเธอกำลังเลือนลางจากความทรงจำฉัน และมันไม่ได้ผิดที่เธอ ที่ยังรู้สึก เป็นเพราะฉันเองที่ หมดใจไปง่ายง่าย ฉันไม่ได้ รักเธอเหมือนก่อน และเธอไม่ควรต้องเจอแบบนี้ จะไม่ขอให้เธอเข้าใจไม่ได้ขอให้เธออภัยกัน แค่อยากให้รู้ว่าฉันเสียใจที่ทั้งหมดนี้มันคือเรื่องจริง ฮือ ไอยะไอ ไม่ได้ขอความเห็นใจ ก็รู้ว่าที่ฉันทำมันก็ยากจะให้อภัย และถ้าจะเกลียดกันในวันสุดท้ายก็ไม่เป็นไร แต่ขอให้รู้ว่ามีสิ่งดีดี ที่เธอนั้นสมควรจะได้ แต่มันคงจะไม่ใช่ฉันหรอกเธอไม่ควรจะรั้งต่อ ฉันเองก็เเค่เหงาในทุกทุกครั้งที่เข้าไปพลั้งกอด จำเอาไว้แค่นั้นพอจำไว้เพียงเท่านั้นพอ ให้มันจบลงตรงนี้ แต่มันไม่ได้ผิดที่เธอ ที่ยังรู้สึก เป็นเพราะฉันเองที่ หมดใจไปง่ายง่าย ฉันไม่ได้ รักเธอเหมือนก่อน และเธอไม่ควรต้องเจอแบบนี้ จะไม่ขอให้เธอเข้าใจ ไม่ได้ขอให้เธออภัยกัน แค่อยากให้รู้ว่าฉันเสียใจ ที่ทั้งหมดนี้มันคือเรื่องจริง อู้ ฮาฮาฮา อู ไม่ได้ขอความเห็นใจ มันก็คงจะจริงที่ฉันมันไม่มีหัวใจ เธอเคยเป็นคนนั้นคนที่เป็นเหมือนกับเส้นชัย แต่มาวันนี้ทุกทุกอย่างกลับเปลี่ยนไป และมันไม่ได้ผิดที่เธอ ที่ยังรู้สึก เป็นเพราะฉันเองที่ หมดใจไปง่ายง่าย ฉันไม่ได้ รักเธอเหมือนก่อน และเธอไม่ควรต้องเจอแบบนี้ จะไม่ขอให้เธอเข้าใจ ไม่ได้ขอให้เธออภัยกัน แค่อยากให้รู้ว่าฉันเสียใจ ที่ทั้งหมดนี้มันคือเรื่องจริง ฮือ ฮู ทั้งหมดนี้มันคือเรื่องจริง
29,วันนี้ปีที่แล้ว,MEYOU,11,34,33,"466,257",https://open.spotify.com/track/4bnxMt1viexb85sAtVz1dA,** ในวันนี้ เมื่อปีที่แล้ว คือวันที่เรานั้นเลิกกัน ตอนนั้นฉันคิดว่า มันคงดีถ้าไม่มีเธอ แต่วันนี้ไม่มีอีกแล้ว และต่อให้ฉันขอร้องเท่าไร เธอคงไม่กลับมาหา คนที่ไล่ให้เธอไป กว่าจะรู้ว่าอยู่ไม่ไหว กว่าจะรู้ตัวว่าสาย กว่าจะเข้าใจเธอก็เดินไป เธอไม่รอแล้ว หยุดก่อน ฉันขอโทษที่โง่ไป ฉันขอโทษที่ไล่เธอไป ช่วยกลับมาอยู่ตรงนี้เหมือนเดิมได้ไหม *แต่ก็รู้อยู่มันคงสายไป กับคำว่าเสียใจ ผ่านมาตั้งนานทำไมเพิ่งเข้าใจ ** ในวันนี้ เมื่อปีที่แล้ว คือวันที่เรานั้นเลิกกัน ตอนนั้นฉันคิดว่า มันคงดีถ้าไม่มีเธอ แต่วันนี้ไม่มีอีกแล้ว และต่อให้ฉันขอร้องเท่าไร เธอคงไม่กลับมาหา คนที่ไล่ให้เธอไป Every night i miss you รู้บ้างไหม Tryna call แต่โดนตัดสาย แต่มันก็สมควร เพราะว่าที่ฉันทำไป มันไม่น่าให้อภัย รู้ดีว่าฉันนั้นเป็นผู้ร้าย And I made you cry so many times แต่อยากจะขอเธอคืนได้ไหม *แต่ก็รู้อยู่มันคงสายไป กับคำว่าเสียใจ ผ่านมาตั้งนานทำไมเพิ่งเข้าใจ ** ในวันนี้ เมื่อปีที่แล้ว คือวันที่เรานั้นเลิกกัน ตอนนั้นฉันคิดว่า มันคงดีถ้าไม่มีเธอ แต่วันนี้ไม่มีอีกแล้ว และต่อให้ฉันขอร้องเท่าไร เธอคงไม่กลับมาหา คนที่ไล่ให้เธอไป อธิษฐานบอกกับฟ้า ขอเธอคืนกลับมาได้ไหม อธิษฐานบอกกับฝน ขอให้ลมโหดร้ายจงผ่านไป อธิษฐานบอกกับฟ้า ขอเธอคืนกลับมาได้ไหม ขอร้อง ขอร้อง..
30,ปล่อยดาว,YEW,11,33,26,"458,172",https://open.spotify.com/track/1fUncVCIUnmf6qihsRkoBE,หากฉันได้ขอสิ่งใด ขอเธอกลับมาได้ไหม ต้องมีชีวิตอีกไกล ฉันอยู่คนเดียวไม่ไหว เจ้าสายน้ำที่เย็นฉ่ำ ที่ทุกวันคอยอยู่ข้างกาย ตอนนี้เขาได้เป็นหาดทราย ที่มันไม่เหลืออะไร ตอนที่เขาอยู่ ก็ไม่เคยจะสนใจอะไร แต่เมื่อเขาไปกลับเสียใจ และได้เพียง ส่งให้นั้นเธอโชคดี ให้เธอได้ไปพบใคร ที่จะไม่ทำให้ใจ เธอทรมาน มันเป็นเพราะฉันเอง ในวันนั้น ทำให้เสียงเพลง เราหมดความหมาย ย้อนไม่ได้ สุดท้ายเขาหายไป เพราะดอกไม้ที่โรยไม่ย้อนกลับ จะยังไงก็ไม่ใช่ดังเดิม สุดท้ายฉัน ก็ทิ้งวัน ที่เคยมี และฉันทำได้เพียง
31,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",10,32,36,"457,579",https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,"Lock me up and throw away the key He knows how to get the best out of me I'm no force for the world to see Trade my whole life just to be Tell nobody I control you I broke you just to own you They can't tell that I love you 'Cause you're loyal, baby I love when you're submissive Love it when I break skin You feel pain without flinchin' So say it Give me tough love Leave me with nothin' when I come down My kinda love Push me and choke me 'til I pass out We don't gotta be in love, no I don't gotta be the one, no I just wanna be one of your girls Tonight We don't gotta be in love, no I don't gotta be the one, no I just wanna be one of your girls Tonight , oh Push me down, hold me down Spit in my mouth while you turn me on I wanna take your light inside Dim me down, snuff me out Hands on my neck while you push it out And I'm screamin' out Give me tough love Leave me with nothin' when I come down My kinda love Force me and choke me 'til I pass out We don't gotta be in love, no I don't gotta be the one, no I just wanna be one of your girls Tonight We don't gotta be in love, no I don't gotta be the one, no I just wanna be one of your girls Tonight, oh Lock me up and throw away the key He knows how to get the best out of me I'm no force for the world to see Trade my whole life just to be Top of the world but I'm still not free It's such a secret that I keep Until it's gone, I can never find peace Brace my whole life just to be We don't gotta be in love, no I don't gotta be the one, no I just wanna be one of your girls Tonight We don't gotta be in love, no I don't gotta be the one, no I just wannа be one of your girls Tonight , oh"
32,กำแพงหัวใจ,Mirrr,15,28,35,"456,864",https://open.spotify.com/track/5BmF05GWZpmm5JZ5p3yMJr,"ได้โปรดเถอะขอร้อง ถ้าใจเธอมันฟ้อง ว่ามีใครคนนั้นที่ใจเธอต้องการ แค่บอกให้ได้รู้ ถ้าหากไม่ใช่ฉัน อย่าทำให้แอบหวังไปอยู่ฝ่ายเดียว เมือในทุกค่ำคืน ฉันยืนอยู่ตรงที่เก่า ยังแอบหวังให้เราเป็นมากกว่านี้ แต่เมื่อฉันยิ่งเข้าไป กลับเหมือนยิ่งห่างไกลทุกที จากเธอ บอกหน่อยว่าฉันต้องพยายามอีกนานแค่ไหน ที่จะทำลายกำแพงหัวใจ ของเธอ ให้ทลายลง บอกให้รู้ อย่าปล่อยให้ฉันคิดวกวน แอบไปฝันอยู่ข้างบน หาทางที่ลงไม่เจอ OH I DON’t wanna talk about it ทั้งที่ฉันก็รู้ อยู่แล้วว่าคงไม่มีสิทธิ์ แต่บังเอิญใจมันไปอยู่ที่เธอแล้วไง แต่มันก็ยังไม่รู้ที่เธอคิดอยู่ข้างใน อยากเป็นใครคนนั้น คนที่เธอต้องการ I’ll give it all to you, Just open your heart ลืมมันไปได้มั้ยลบภาพที่เจ็บในวันวาน กำแพงเธอที่สูงให้ฉันทลายลงมา เมือในทุกค่ำคืน ฉันยืนอยู่ตรงที่เก่า ยังแอบหวังให้เราเป็นมากกว่านี้ แต่เมื่อฉันยิ่งเข้าไป กลับเหมือนยิ่งห่างไกลทุกที จากเธอ บอกหน่อยว่าฉันต้องพยายามอีกนานแค่ไหน ที่จะทำลายกำแพงหัวใจ ของเธอ ให้ทลายลง บอกให้รู้ อย่าปล่อยให้ฉันคิดวกวน แอบไปฝันอยู่ข้างบน หาทางที่ลงไม่เจอ บอกหน่อยว่าฉันต้องพยายามอีกนานแค่ไหน ที่จะทำลายกำแพงหัวใจ ของเธอ ให้ทลายลง บอกให้รู้ อย่าปล่อยให้ฉันคิดวกวน แอบไปฝันอยู่ข้างบน หาทางที่ลงไม่เจอ ช่วยบอกว่าฉันต้องพยายามอีกนานแค่ไหน ที่จะทำลายกำแพงหัวใจ ของเธอ ให้ทลายลง บอกให้รู้ อย่าปล่อยให้ฉันคิดวกวน แอบไปฝันอยู่ข้างบน หาทางที่ลงไม่เจอ บอกหน่อยว่าฉันต้องพยายามอีกนานแค่ไหน ที่จะทำลายกำแพงหัวใจ ของเธอ ให้ทลายลง บอกให้รู้ อย่าปล่อยให้ฉันคิดวกวน แอบไปฝันอยู่ข้างบน ฉันหาทางที่ลงไม่เจอ"
33,เดินมาส่ง - BYE,"First Anuwat, Saran",11,30,49,"452,005",https://open.spotify.com/track/7jq0O5rfrzEIqNOsc7v9JT,เดินมาส่งเธอแค่นี้ ให้เธอไปดีกับทางของเธอ ขอให้ได้พบได้เจอกับคนที่ดี คนที่ไม่ทำเธอเสียใจ เดินมาส่งเธอแค่นี้ ให้เธอโชคดีต่อจากนี้ไป ต้องจำเอาไว้ แม้เรานั้นมากันตั้งไกล แต่สุดท้ายได้แค่ส่งเธอ ถอยมา ปล่อยให้น้ำตามันไหล ก็พอเข้าใจ ว่าเราคงต้องแยกย้าย นึกแล้วฉันก็ยังเสียดาย ไม่ได้ทำอะไรอีกมากมาย รู้ดี ว่าฉันไม่มีอะไร ที่จะให้เธอเป็นของขวัญชิ้นสุดท้าย ทำได้เพียงแค่พูดคำลา และฝืนยิ้มทั้งที่มีน้ำตา เดินมาส่งเธอแค่นี้ ให้เธอไปดีกับทางของเธอ ขอให้ได้พบได้เจอกับคนที่ดี คนที่ไม่ทำเธอเสียใจ เดินมาส่งเธอแค่นี้ ให้เธอโชคดีต่อจากนี้ไป ต้องจำเอาไว้ แม้เรานั้นมากันตั้งไกล แต่สุดท้ายได้แค่ส่งเธอ มันน่าเสียดายตรงไหนรู้มั้ย ตรงที่ ความรู้สึกต่าง ๆ ของเรา นั้นมันยังไม่เคยคงที่ ขอโทษที่ตัดสินใจทั้งหมดไปด้วยอารมณ์รีบ ฉันนั้นต้องยอมรับความเจ็บปวดที่หวดมาเหมือนกับคมมีด เวลามันผ่านไป ฉันก็คงขอเธอไม่ได้ และในวันนี้ฉันคงต้องไป ฉันคงจะสอนเธอไม่ได้ ฉันแม่งโคตรเสียใจที่ฉันถนอมเธอไม่ได้ สุดท้ายแล้วรักเธอมากแค่ไหน ก็เป็นเจ้าของเธอไม่ได้ ฉันแม่งโคตรอยากหอม แต่ก็ยังหอมเธอไม่ได้ ฉันถอดทุกอย่างออกไปจากหัว แต่ฉันกลับถอนเธอไม่ได้ ฉันตอบสนองของเธอไม่ได้ ฉันถอดสมองของเธอไม่ได้ ทุกอย่างที่มันเกี่ยวข้องกับเธอ ฉันยังหยุดหลอนมันไม่ได้ ฉันเลยมานั่งเขียนและก็มาจับไฟล์เพลง และหากวันในฉันลืมเธอได้วันนั้นฉันจะไปเอง ใครจะเชื่อว่าเราทั้งสองนั้นจะสลับไป Way ความรักที่เราไม่เคยคิดและมันก็ Deep ซะยิ่งกว่า Club Friday เดินมาส่งเธอแค่นี้ ให้เธอไปดีกับทางของเธอ ขอให้ได้พบได้เจอกับคนที่ดี คนที่ไม่ทำเธอเสียใจ เดินมาส่งเธอแค่นี้ ให้เธอโชคดีต่อจากนี้ไป ต้องจำเอาไว้ แม้เรานั้นมากันตั้งไกล แต่สุดท้ายได้แค่ส่งเธอ
34,ยินดี - เพลงประกอบละครมาตาลดา ช่อง 3,sarah salola,10,36,41,"447,376",https://open.spotify.com/track/5DMALWZOGyyc7noptzvF2j,ไม่ต้องคิดถึงฉันเลย เวลาที่เธอเป็นสุขใจ ถ้าเหงาเมื่อไร ค่อยบอกกันนะ ไม่ต้องมีฉันเลย ถ้าตรงนั้นเธอสบายใจ ถ้าเจ็บเมื่อไร จะคอยซับน้ำตา *วันที่ฟ้าไม่มีดาว เธอยังมีฉัน วันที่มองไม่เจอใคร จะยังเจอฉัน วันที่โลกดูใจร้ายจะมีฉันที่ยังจับมือเธอไว้ **เธอไม่ต้องให้อะไรฉัน เพราะฉันไม่เคยต้องการ แค่ให้ฉันอยู่ข้างเธอเรื่อยไป แค่เธอยิ้มก็เป็นรางวัลให้ฉันได้สุขหัวใจ จะอยู่ที่ตรงนี้ที่ไม่เคยไกล ถ้าเธออยากรักวันใดก็ยินดี ไม่ต้องเรียกว่าคนสำคัญหรอก เพียงแค่เธอต้องนึกถึงฉันก่อน คิดถึงฉันเบาๆก็พอ จะไม่ยอมให้เธอต้องรอ ได้เป็นรอยยิ้มของเธอก็พอ
35,ขอให้เธอใจดี,FREEHAND,12,37,39,"434,710",https://open.spotify.com/track/3y5HhSSAyYGtOkP6mhKs6z,ในวันที่ความรักสองเรานั้นไปต่อไม่ไหว ในวันที่ใจของเธอ เปลี่ยนผันไปไม่เหมือนก่อน เราคงมาไกลได้เท่านี้ * หากฉันไม่ได้อยู่ดูแลเหมือนวันก่อน ช่วยบอกได้ไหมว่าจะเข้มแข็ง หากฉันไม่ได้อยู่ข้างเธอดั่งวันวาน ** อยากจะขอให้เธอได้เจอแต่คนที่แสนดี อย่าได้ไปเจอใครที่ทำร้ายหัวใจ ขอให้โลกใบนี้ใจดีกับเธอ ในวันที่ไม่มีฉันอยู่ ขอให้โลกใบนี้ไม่ทำร้ายเธอ ในวันที่ไม่มีฉันอยู่ จริง ๆ ตอนนั้นก็ดี จริง ๆ ใจฉันไม่อยากเสียเธอไป แต่กาลเวลาใจร้ายเหลือเกิน ที่นำพาเธอให้ไกลจากฉัน โอ้ว กาลเวลาใจร้ายเหลือเกิน ที่ทำให้ใจของเธอ เปลี่ยนไป
36,ติดฝน (rain),PiXXiE,3,29,15,"430,101",https://open.spotify.com/track/6rk1rGqpNXTeu7kVsB049F,6 โมงแล้ว เราก็ยังไม่เข้านอน อยู่คุยกันจนเช้าไม่ได้พักผ่อน ฝนโปรยลงมา โปรดจงช่วยยืดเวลา เธอได้ไหม ดื่มกาแฟกับฉันอีกสักแก้วหนึ่ง อยู่อีกนิด Netflix อีกสักเรื่องหนึ่ง แค่เราสบตา อยากให้เข็มนาฬิกาเดินช้า ๆ เธอต้องไปรึยัง อยากให้ฝนนานกว่านี้จัง เธอจะเบื่อรึยัง ที่ต้องใช้ชีวิตด้วยกัน อยากเจอเธอทุกวัน พอเป็นไปได้ไหม ติดเธอไม่ไหว ติดฝนอยู่ด้วยกันก่อนได้ไหม ถ้าเธอไม่รีบไป ฝนยังไม่จาง กลับไปเดี๋ยวไม่สบาย อยู่ก่อนไหม ติดเธอไม่ไหว ติดฝนอยู่ด้วยกันก่อนได้ไหม ถ้าเธอไม่ว่าอะไร ฝนยังไม่ซา รออีกแป๊บเราค่อยลา จะได้ไหม ติดเธอเข้าแล้ว ไม่อยากให้ไป ต่อเวลาอีกนิด คงไม่ว่ากัน อยู่หลบฝนกับฉันด้วยกันทั้งวัน แค่เธอกับฉัน ไม่รับรู้วันเวลา หยุดมันไว้ เธอต้องไปรึยัง อยากให้ฝนนานกว่านี้จัง เธอจะเบื่อรึยัง ที่ต้องใช้ชีวิตด้วยกัน อยากเจอเธอทุกวัน พอเป็นไปได้ไหม ติดเธอไม่ไหว ติดฝนอยู่ด้วยกันก่อนได้ไหม ถ้าเธอไม่รีบไป ฝนยังไม่จาง กลับไปเดี๋ยวไม่สบาย อยู่ก่อนไหม ติดเธอไม่ไหว ติดฝนอยู่ด้วยกันก่อนได้ไหม ถ้าเธอไม่ว่าอะไร ฝนยังไม่ซา รออีกแป๊บเราค่อยลา จะได้ไหม ติดเธอเข้าแล้ว ไม่อยากให้ไป อยู่รอให้ฝนซาก่อนค่อยไป
